cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
150-76-5,4-甲氧基苯酚,4-Methoxyphenol,伊诺凯,25 g,25,g,1,222,running_out,chenlei,
72762-00-6,,,,,,,1,221,not_stocked,admin,
72762-00-6,吡啶-2-醇,Pyridin-2-ol,毕得,5g,5,g,1,220,running_out,gengshihan,
148893-10-1,"2-(7-偶氮苯并三氮唑)-N,N,N',N'-四甲基脲六氟磷酸酯",HATU,毕得,10g,10,g,1,219.75,running_out,xuguofeng,
513-86-0,乙偶姻,Acetoin,伊诺凯,25g,25,g,1,219,not_stocked,chenlei,
2712-78-9,,,"
百灵威J&K",5g,5,g,1,215,running_out,chenlei,
358-23-6,三氟甲磺酸酐,Trifluoromethanesulfonic anhydride,毕得,25g,25,g,1,215,running_out,zhuminghui,
358-23-6,三氟甲磺酸酐 ,Trifluoromethanesulfonic anhydride,毕得,25g,25,g,1,214.5,running_out,zhuminghui,
358-23-6,三氟甲磺酸酐,Trifluoromethanesulfonic anhydride,毕得,25g,25,g,1,214.5,running_out,lichao,
1489-53-8,,"1,2,3-Trifluorobenzene",毕得,5g,5,g,1,213.3,not_stocked,dairongheng,
60871-84-3,三氟甲磺酸镍,Nickel(II) trifluoromethanesulfonate,毕得医药,5g,5,g,1,212.15,running_out,wanghongye,
358-23-6,三氟甲磺酸酐,Trifluoromethanesulfonic anhydride,毕得,25 g,25,g,1,211.65,running_out,chengzengrui,
100-42-5,苯乙烯,Styrene,百灵威,250ML,250,mL,1,211.5,not_stocked,chenlei,
7283-96-7,"
5-氯噻吩-2-甲醛",2-Chloro-5-thiophenecarboxaldehyde,毕得,5g,5,g,1,209,running_out,sulingyu,
675-20-7,2-哌啶酮,Piperidin-2-one,毕得,10g,10,g,1,207.75,not_stocked,zhuminghui,
2950-43-8,羟胺磺酸,,"	毕得医药",25G,25,g,1,207,running_out,qiuxu,
32137-76-1,"1,3-苯并噻唑-2-羧酸乙酯","ETHYL 1,3-BENZOTHIAZOLE-2-CARBOXYLATE",,5g,5,g,1,206.25,not_stocked,admin,
72-48-0,茜素,"1,2-Dihydroxyanthraquinot_stocked",阿拉丁,25g,25,g,1,203.15,not_stocked,zhangcaifang,
88-73-3,"	邻氯硝基苯",,"	麦克林",100g,100,g,1,202.5,running_out,dairongheng,
13161-30-3,2-羟基吡啶-N-氧化物,2-Pyridinol-1-oxide,毕得医药,10g,10,g,1,202.4,not_found,xuguofeng,
540-37-4,对碘苯胺,4-Iodoaniline,毕得,25g,25,g,1,201,degraded,zhangcaifang,
94790-37-1,"苯并三氮唑-N,N,N',N'-四甲基脲六氟磷酸酯",HBTU,innochem（伊诺凯）,25g,25,g,1,200,degraded,tanhui,
